,keys,clicks,impressions,ctr,position
46,['大阪 レンタルスペース'],113.0,1440.0,0.07847222222222222,3.1819444444444445
47,['横浜 レンタルスペース'],111.0,1055.0,0.1052132701421801,3.800947867298578
48,['貸し会議室 大阪'],111.0,1795.0,0.06183844011142061,2.761559888579387
49,['ダンススタジオ ひとり'],110.0,301.0,0.3654485049833887,1.1229235880398671
50,['レンタルスペース 名古屋'],110.0,1410.0,0.07801418439716312,4.168794326241135
51,['シアタールーム レンタル 少人数 東京'],107.0,174.0,0.6149425287356322,1.0229885057471264
52,['新宿 レンタルルーム'],107.0,1827.0,0.05856595511767926,5.370005473453749
53,['西船橋 レンタルルーム'],103.0,245.0,0.4204081632653061,2.0326530612244897
54,['渋谷 レンタルルーム'],102.0,849.0,0.12014134275618374,7.34040047114252
55,['東京駅 レンタルルーム'],100.0,652.0,0.15337423312883436,7.4079754601226995
56,['横浜 レンタルスタジオ'],100.0,219.0,0.45662100456621,2.0091324200913245
57,['作業スペース レンタル'],99.0,210.0,0.4714285714285714,1.2476190476190476
58,['レンタルスペース 横浜'],98.0,1049.0,0.09342230695900858,3.784556720686368
59,['個室 レンタル'],98.0,306.0,0.3202614379084967,2.8790849673202614
60,['レンタルスペース 京都'],97.0,809.0,0.11990111248454882,3.6711990111248456
61,['横浜 ダンススタジオ レンタル'],97.0,188.0,0.5159574468085106,2.085106382978723
62,['音楽スタジオ'],97.0,6234.0,0.015559833172922682,7.509143407122233
63,['レンタルスペース 女子会 安い'],96.0,430.0,0.22325581395348837,3.4139534883720932
64,['梅田 レンタルスペース'],96.0,845.0,0.1136094674556213,2.6118343195266274
65,['レンタルルーム 池袋'],95.0,704.0,0.13494318181818182,5.063920454545454
66,['レンタルスペース 大阪 パーティー 少人数'],94.0,177.0,0.5310734463276836,1.0
67,['レンタル会議室'],94.0,1587.0,0.05923125393824827,4.632010081915563
68,['レンタルキッチン 安い'],91.0,252.0,0.3611111111111111,1.0396825396825398
69,['部屋を一日だけ借りる'],91.0,619.0,0.1470113085621971,3.5977382875605817
70,['レンタルサロン 大阪'],90.0,267.0,0.33707865168539325,4.041198501872659
71,['東京 ポップアップストア'],89.0,541.0,0.1645101663585952,1.9279112754158965
72,['新宿 パーティールーム'],88.0,478.0,0.18410041841004185,2.01673640167364
73,['レンタルサロン 東京'],86.0,253.0,0.33992094861660077,1.9802371541501977
74,['新宿 レンタルスタジオ'],86.0,671.0,0.12816691505216096,3.6721311475409837
75,['ダンススタジオ'],85.0,3034.0,0.02801582069874753,7.77027027027027
76,['レンタルキッチン 東京 1人'],85.0,419.0,0.20286396181384247,2.658711217183771
77,['京都 レンタルスペース'],85.0,545.0,0.1559633027522936,3.2091743119266054
78,['東京駅 会議室'],83.0,1159.0,0.07161345987920621,3.7704918032786887
79,['レンタルスペース 渋谷'],82.0,1014.0,0.08086785009861933,3.514792899408284
80,['フェスタ京町堀'],81.0,184.0,0.44021739130434784,3.7989130434782608
81,['キッチン レンタル 東京'],80.0,142.0,0.5633802816901409,1.0633802816901408
82,['レンタルジム'],80.0,772.0,0.10362694300518134,7.432642487046632
83,['レンタルスタジオ 東京'],80.0,1049.0,0.07626310772163966,2.069590085795996
84,['レンタルルーム カップル'],80.0,902.0,0.08869179600886919,6.767184035476719
85,['渋谷 パーティールーム'],80.0,471.0,0.16985138004246284,2.008492569002123
86,['生誕祭 祭壇 スタジオ'],80.0,135.0,0.5925925925925926,1.5629629629629629
87,['1日 レンタル 部屋'],79.0,520.0,0.1519230769230769,3.8673076923076923
88,['ダンススタジオ レンタル 安い'],79.0,351.0,0.22507122507122507,3.1082621082621085
89,['北千住 レンタルルーム'],78.0,244.0,0.319672131147541,2.274590163934426
90,['インスタベース 名古屋'],77.0,102.0,0.7549019607843137,1.0
91,['撮影スタジオ'],77.0,6176.0,0.01246761658031088,8.03675518134715
92,['東京 レンタルスペース'],77.0,1152.0,0.06684027777777778,3.084201388888889
93,['音楽スタジオ 安い'],76.0,319.0,0.23824451410658307,3.8087774294670846
94,['ポップアップストア 東京'],75.0,225.0,0.3333333333333333,1.96
95,['パソコン借りれる場所'],74.0,173.0,0.4277456647398844,1.023121387283237
96,['パーティールーム 大阪'],74.0,185.0,0.4,1.962162162162162
