,key_0,key_1,clicks_1,ctr_1,impressions_1,position_1,clicks_2,ctr_2,impressions_2,position_2
1308,渋谷駅 会議室,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,0.0,0.0,3.0,6.0,,,,
1307,渋谷駅 会議室,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,0.0,0.0,9.0,4.333333333333334,0.0,0.0,8.0,5.125
1315,渋谷駅 貸し会議室,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,0.0,0.0,1.0,6.0,,,,
1313,渋谷駅 貸し会議室,https://www.instabase.jp/tokyo-s1130205,0.0,0.0,6.0,5.333333333333333,0.0,0.0,10.0,5.0
1314,渋谷駅 貸し会議室,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,0.0,0.0,5.0,4.4,0.0,0.0,10.0,5.0
1316,渋谷駅 貸会議室,https://www.instabase.jp/tokyo-s1130205,0.0,0.0,1.0,5.0,0.0,0.0,2.0,5.0
1317,渋谷駅 貸会議室,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,0.0,0.0,9.0,5.777777777777778,0.0,0.0,7.0,4.714285714285714
1318,渋谷駅 貸会議室,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,0.0,0.0,8.0,5.5,0.0,0.0,5.0,6.0
1350,貸し会議室 渋谷,https://www.instabase.jp/space/31125988,0.0,0.0,1.0,5.0,,,,
1351,貸し会議室 渋谷,https://www.instabase.jp/space/4709782727,0.0,0.0,1.0,5.0,,,,
1352,貸し会議室 渋谷,https://www.instabase.jp/space/6378724392,0.0,0.0,1.0,5.0,,,,
31,貸し会議室 渋谷,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,5.0,0.023923444976076555,209.0,4.732057416267942,3.0,0.011111111111111112,270.0,5.470370370370371
99,貸し会議室 渋谷,https://www.instabase.jp/tokyo-s1130205,2.0,0.008658008658008658,231.0,5.484848484848484,1.0,0.0034482758620689655,290.0,5.075862068965518
100,貸し会議室 渋谷,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,2.0,0.028985507246376812,69.0,6.0144927536231885,2.0,0.06060606060606061,33.0,19.636363636363637
238,貸し会議室 渋谷 少人数 格安,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,1.0,0.25,4.0,3.5,0.0,0.0,1.0,3.0
1353,貸し会議室 渋谷 少人数 格安,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0
1355,貸し会議室 渋谷 格安,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,0.0,0.0,1.0,5.0,0.0,0.0,1.0,5.0
1354,貸し会議室 渋谷 格安,https://www.instabase.jp/tokyo-s1130205,0.0,0.0,1.0,5.0,,,,
1356,貸し会議室 渋谷 格安,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,0.0,0.0,2.0,5.0,0.0,0.0,1.0,4.0
1357,貸し会議室 渋谷フォーラムエイト,https://www.instabase.jp/space/1653,0.0,0.0,1.0,6.0,,,,
1789,貸し会議室 渋谷フォーラムエイト,https://www.instabase.jp/space/1630,,,,,0.0,0.0,2.0,9.5
1358,貸し会議室 渋谷区,https://www.instabase.jp/space/4053417113,0.0,0.0,1.0,7.0,,,,
1361,貸し会議室 渋谷区,https://www.instabase.jp/tokyo-w13113,0.0,0.0,19.0,6.578947368421052,0.0,0.0,18.0,6.277777777777778
1360,貸し会議室 渋谷区,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,0.0,0.0,2.0,8.5,0.0,0.0,1.0,7.0
1359,貸し会議室 渋谷区,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,0.0,0.0,16.0,7.75,0.0,0.0,11.0,7.181818181818182
1790,貸し会議室 渋谷区,https://www.instabase.jp/tokyo-w13113-kaigishitsu,,,,,0.0,0.0,6.0,7.5
1363,貸会議室 東京都渋谷区道玄坂,https://www.instabase.jp/space/1493465690,0.0,0.0,22.0,2.0,0.0,0.0,22.0,2.0
1365,貸会議室 渋谷,https://www.instabase.jp/tokyo-s1130205-kaigishitsu,0.0,0.0,120.0,5.6,0.0,0.0,108.0,5.851851851851852
1364,貸会議室 渋谷,https://www.instabase.jp/tokyo-s1130205,0.0,0.0,1.0,7.0,0.0,0.0,17.0,6.882352941176471
1366,貸会議室 渋谷,https://www.instabase.jp/tokyo-s1130205/list/small-private-kaigishitsu,0.0,0.0,64.0,6.796875,0.0,0.0,73.0,6.958904109589041
